maquina,tipo_rotura,cantidad,fecha
URDIDORA # 03,Moña,9,20260922
URDIDORA # 03,Cola o reserva,4,20260922
URDIDORA # 03,Interferencia entre hilos,4,20260922
URDIDORA # 03,Interferencia manipulacion,2,20260922
URDIDORA # 03,Queso picado interno (OE),1,20260922
URDIDORA # 03,Hilos sueltos,2,20260922
URDIDORA # 04,Moña,27,20260922
URDIDORA # 04,Interferencia entre hilos,19,20260922
URDIDORA # 04,Cola o reserva,5,20260922
URDIDORA # 04,Queso picado interno (OE),5,20260922
URDIDORA # 04,Hilos sueltos,5,20260922
