maquina,tipo_rotura,cantidad,fecha
URDIDORA # 02,Interferencia entre hilos,1,20260921
URDIDORA # 02,Hilos sueltos,1,20260921
URDIDORA # 03,Moña,8,20260921
URDIDORA # 03,Interferencia entre hilos,4,20260921
URDIDORA # 03,Queso picado interno (OE),1,20260921
URDIDORA # 04,Moña,20,20260921
URDIDORA # 04,Interferencia entre hilos,8,20260921
URDIDORA # 04,Queso picado externo,5,20260921
URDIDORA # 04,Cola o reserva,5,20260921
URDIDORA # 04,Hilo debil,5,20260921
URDIDORA # 04,Interferencia manipulacion,4,20260921
URDIDORA # 04,Hilos sueltos,23,20260921
