maquina,tipo_rotura,cantidad,fecha
GLOBAL,Moña,38.0,20260901
GLOBAL,Hilos sueltos,4.0,20260901
GLOBAL,Interferencia entre hilos,10.0,20260901
GLOBAL,Queso picado interno (OE),2.0,20260901
GLOBAL,Cola o reserva,2.0,20260901
GLOBAL,Moña,2.0,20260901
GLOBAL,Queso picado externo,1.0,20260901
GLOBAL,Baquelita,1.0,20260901
GLOBAL,Interferencia manipulacion,1.0,20260901
GLOBAL,Hilos sueltos,3.0,20260901
GLOBAL,Moña,11.0,20260901
GLOBAL,Cola o reserva,3.0,20260901
GLOBAL,Hilo debil,2.0,20260901
GLOBAL,Queso picado interno (OE),1.0,20260901
GLOBAL,Hilos sueltos,2.0,20260901
GLOBAL,Interferencia entre hilos,5.0,20260901
GLOBAL,Queso picado interno (OE),2.0,20260901
GLOBAL,Queso picado interno (OE),2.0,20260901
GLOBAL,Moña,2.0,20260901
GLOBAL,Cola o reserva,1.0,20260901
GLOBAL,Hilos sueltos,3.0,20260901
