maquina,tipo_rotura,cantidad,fecha
URDIDORA # 02,Interferencia entre hilos,5,20260923
URDIDORA # 02,Moña,4,20260923
URDIDORA # 02,Cola o reserva,2,20260923
URDIDORA # 02,Hilos sueltos,5,20260923
URDIDORA # 03,Moña,5,20260923
URDIDORA # 03,Cola o reserva,2,20260923
URDIDORA # 04,Moña,35,20260923
URDIDORA # 04,Cambio o transferencia,11,20260923
URDIDORA # 04,Interferencia entre hilos,5,20260923
URDIDORA # 04,Cola o reserva,5,20260923
URDIDORA # 04,Interferencia manipulacion,2,20260923
URDIDORA # 04,Hilos sueltos,15,20260923
