maquina,tipo_rotura,cantidad,fecha
GLOBAL,Interferencia entre hilos,14.0,20260916
GLOBAL,Moña,5.0,20260916
GLOBAL,Queso picado externo,2.0,20260916
GLOBAL,Queso picado interno (OE),1.0,20260916
GLOBAL,Interferencia manipulacion,1.0,20260916
GLOBAL,Hilos sueltos,3.0,20260916
GLOBAL,Cola o reserva,12.0,20260916
GLOBAL,Moña,11.0,20260916
GLOBAL,Queso picado externo,11.0,20260916
GLOBAL,Queso picado interno (OE),2.0,20260916
GLOBAL,Queso terminado,1.0,20260916
GLOBAL,Interferencia entre hilos,1.0,20260916
GLOBAL,Hilos sueltos,9.0,20260916
