fecha,maquina,item,codigo,causa,hrs,porcentaje
20260909,GLOBAL,1,56,PREPARACION MAQUINA URDIDO,2.82,35.25
20260909,GLOBAL,2,14,FALLA OPERATIVA.,1.25,15.63
