fecha,maquina,item,codigo,causa,hrs,porcentaje
20260915,GLOBAL,1,43,FALTA DE MATERIAL (HILO PARA URDIR),1.17,14.63
20260915,GLOBAL,1,16,FALLA MECANICA.,1.33,16.63
20260915,GLOBAL,1,43,FALTA DE MATERIAL (HILO PARA URDIR),7.0,87.5
20260915,GLOBAL,1,102,Planificacion,2.0,0.0
