fecha,maquina,item,codigo,causa,hrs,porcentaje
20260917,GLOBAL,1,4,MANTENIMIENTO PREVENTIVO.,8.0,100.0
20260917,GLOBAL,1,20,CAMBIO DE TITULO-CAMBIO ESTILO-ENSARTE,2.82,35.25
